iter	Passed	Remaining
0	10	10160
1	20	10381
2	31	10337
3	41	10336
4	52	10364
5	62	10344
6	72	10329
7	83	10299
8	93	10280
9	103	10281
10	114	10280
11	125	10301
12	135	10306
13	146	10308
14	157	10309
15	167	10290
16	177	10286
17	188	10270
18	198	10270
19	209	10276
20	220	10294
21	231	10294
22	242	10291
23	252	10276
24	263	10260
25	273	10254
26	284	10241
27	294	10229
28	305	10217
29	315	10203
30	325	10186
31	336	10174
32	346	10158
33	357	10143
34	367	10130
35	378	10122
36	388	10108
37	398	10097
38	409	10081
39	419	10067
40	430	10063
41	441	10067
42	451	10056
43	462	10053
44	473	10044
45	483	10034
46	494	10021
47	504	10009
48	515	9998
49	525	9982
50	535	9971
51	546	9956
52	556	9944
53	567	9935
54	577	9924
55	588	9913
56	598	9900
57	608	9887
58	619	9880
59	629	9866
60	640	9859
61	651	9851
62	661	9841
63	672	9830
64	683	9826
65	693	9814
66	703	9803
67	714	9790
68	724	9778
69	735	9768
70	745	9756
71	755	9743
72	766	9731
73	776	9718
74	786	9706
75	797	9694
76	807	9681
77	817	9668
78	828	9659
79	839	9651
80	849	9643
81	860	9636
82	871	9627
83	881	9617
84	892	9607
85	903	9600
86	913	9588
87	924	9576
88	934	9564
89	944	9552
90	955	9540
91	965	9531
92	976	9520
93	986	9511
94	997	9499
95	1007	9487
96	1017	9475
97	1028	9464
98	1038	9453
99	1049	9443
100	1059	9433
101	1070	9422
102	1080	9411
103	1090	9399
104	1101	9388
105	1111	9377
106	1122	9367
107	1132	9355
108	1143	9344
109	1153	9332
110	1163	9321
111	1174	9309
112	1184	9299
113	1195	9289
114	1205	9278
115	1216	9267
116	1226	9257
117	1236	9245
118	1247	9234
119	1257	9224
120	1268	9215
121	1279	9204
122	1289	9193
123	1299	9182
124	1310	9171
125	1320	9160
126	1331	9152
127	1342	9142
128	1352	9133
129	1363	9123
130	1373	9112
131	1384	9101
132	1394	9092
133	1405	9083
134	1416	9073
135	1426	9064
136	1437	9053
137	1448	9045
138	1459	9038
139	1470	9031
140	1481	9025
141	1491	9014
142	1502	9002
143	1512	8991
144	1523	8980
